originalVatNumber,name
DK41000007,Turner Tømrer/Snedker
DK44000008,Spraytek ApS
DK48000010,Gårdejer Knud Langholm
DK43000012,Single Transport
DK41000015,Nørkær Mølle
DK43000020,Focus Bio Energy ApS
DK44000024,Mouritsens Rengørings Service
DK43000047,MichelleRasmussen.dk
DK40000054,Ejendommen Banevej 5 v/Ebbe       Søndermark
DK41000066,JN Nedbrydning og Byg
DK41000082,Well-Maid
DK43000101,MHA
DK41000104,Psykolog Kamilla Østergård Kjær
DK44000105,A. Væring Consulting
DK44000113,HKJ I/S
DK42000124,Bratbjerggaard ApS
DK40000135,Sakura Real Estate Denmark ApS
DK43000152,Selenium ApS
DK43000160,EE Team Service ApS
DK44000164,KPW.com
DK41000171,Tagrende Mesteren
DK40000178,Dreamride Ejendomme ApS
DK42000175,Minmakker
DK43000187,Panorama 22 ApS
DK42000183,Bam Bread ApS
DK42000191,Tradebase ApS
DK41000198,OleSkøn
DK43000217,Ejendomsselskabet Krogvejen ApS
DK40000224,Entreprenør/Autoværksted V/Henrik Grønhøj
DK44000229,MR9 Holding ApS
DK40000232,K/S Randers 2
DK43000233,Jemi 2022 ApS
DK41000236,Shabs
DK40000240,Mesterlodden 5 ApS
DK44000253,Modehuset Kruse & Molbech ApS
DK44000261,MekTek ApS
DK41000279,Digibit
DK43000284,Mallsø ApS
DK40000283,Lægerne i Thorsø I/S
DK42000299,MT Landbrug I/S
DK41000317,Langelund Studio
DK44000342,Wozniak MX Racing Team ApS
DK43000349,Technical BackOffice Solutions ApS
DK43000365,Nordic Trade
DK42000361,MGS Security ApS
DK44000369,Helse Guru ApS
DK43000373,Mentor Ejendomsadministration ApS
DK40000372,Leander Music Entertainment
DK41000384,Lund Entreprenørservice ApS
DK42000388,Rengøringskonen ApS
DK41000392,KB Stenstrup ApS
DK44000393,Webblii
DK42000396,SorptionShade A/S
DK44000407,Morgendagen ApS
DK44000415,Petrowsky Gruppen A/S
DK44000423,Neosight Invest ApS
DK44000431,Driftsselskabet af 19. april 2023 ApS
DK40000429,Van Duo ApS
DK43000438,Birch & Poulsen Entreprise ApS
DK42000442,nuuroo A/S
DK44000458,Perfetti Van Melle Danmark ApS
DK43000462,Gut-iT Consultancy ApS
DK41000465,Universal Administration
DK42000477,Tømrermester Fogels ApS
DK44000482,BHP Management
DK42000485,Vindblæs vandværk a.m.b.a.
DK41000503,PC-XTRA ApS
DK41000511,Farfar's Fish'N'Chips ApS
DK44000520,Brebeneskul Consulting
DK43000527,Olsens Tag ApS
DK40000526,Advokat Mikkel Baaring Lerche
DK43000535,Stechers Århus ApS
DK42000531,Isenkram v/Lars Rasmussen
DK41000538,Hauges IT
DK44000555,Berg & Toft ApS
DK42000558,Koreansk B.B.Q. ApS
DK42000566,Bygshop ApS
DK42000582,Jesper Wiik Christensen
DK41000589,Riisfeldt Køreskole
DK40000585,Fuhlendorff Ejendomme ApS
DK42000590,1240HUB ApS
DK41000597,GrowYourRevenue
DK40000593,Malermester
DK43000608,TipTop Cleaning Service
DK41000635,Optiilo ApS
DK44000636,Møllebakken v. Mia Hesselkjær
DK43000640,Karina Elm ApS
DK44000644,Verdens Endes Mikrogrønt ApS
DK42000647,CJI Montage ApS
DK43000659,Bistro Le Clos ApS
DK44000660,Blackbird-film ApS
DK43000667,Nordjyllands Tagdækning ApS
DK42000663,Harebanke ApS
DK44000679,Ipsens Regnskabsservice ApS
DK41000686,Restaurant Møllesøen ApS
DK43000683,Francesco Tesolato
DK40000682,Acconoor K/S
DK43000691,PHJ Consulting
DK44000695,Frey Consult
DK43000705,Eikensoft
DK40000704,CloudConnecting.dk ApS
DK44000717,Ælsk Mad & Vinbar ApS
DK41000724,Frilund Biler ApS
DK42000728,CPH Boat Service ApS
DK44000725,SC MTH JV I/S
DK42000736,Skovløkke v/Anette Bang
DK44000733,BLP Tagdækning ApS
DK42000752,Amate ApS
DK43000748,Thimandbyg ApS
DK43000756,MMR ApS
DK43000764,Christian Fogh Design
DK41000767,TR-Erhverv A/S
DK42000779,MDJ Racing
DK41000775,Jysk Gulvdesign ApS
DK43000780,Laden i Gislum
DK44000776,Rezas Ejendomme ApS
DK42000787,JE Sports Consultancy
DK40000771,Esbjergvej 101 Aps
DK44000792,POS-ONE A/S
DK42000809,Happy Hippies ApS
DK44000806,Kristensen Grafisk Design
DK41000813,Gørdinglund El ApS
DK41000848,BM Bolig & Erhvervsudlejning I/S
DK44000857,nosu ApS
DK44000865,Susanne Løper
DK42000884,Blue ApS
DK42000892,Park og Have
DK44000881,Scandic Pair ApS
DK43000896,Jung Conservation I/S
DK41000899,Skaunskov I/S
DK44000903,SimpleVen ApS
DK41000910,H. Lindberg ApS
DK42000922,ML Engineering
DK42000930,TBJ Group ApS
DK41000929,Schmidt Mikkelsen I/S
DK43000942,Anika Paulus
DK44000938,Skovlund I/S
DK44000946,Søndersø Bryghus ApS
DK41000945,Ries & Pedersen Ejendomme ApS
DK42000957,MCauto
DK43000969,hidorris
DK44000962,Pro Sikkerhedsrådgiver ApS
DK44000970,Leverum ApS
DK40000968,NEHM Invest ApS
DK41000996,DataCareConsulting ApS
DK40000984,PS Ejendomme Gørding ApS
DK42001007,Ny Fugl Phønix ApS
DK44001012,Signature Homes ApS
DK44001039,Velfærdshesten
DK41001046,Ejendomsselskabet Nørager ApS
DK47001110,BG Brønderslev Invest A/S
DK44001063,Tømrerfirmaet Knudsen & Klauman   ApS
DK41001070,GODesign
DK43001078,Lygten Marked ApS
DK42001090,Camino ApS
DK42001104,Malermester Gerlach
DK43001108,OK AGRO TEKNIK
DK43001116,Kunstner Martin C. John Hansen
DK42001120,JN Stål ApS
DK43001124,Art of Donvang
DK40001115,Copenhagen Storytellers
DK41001127,JK Construction ApS
DK43001132,Skandi Service ApS
DK42001139,Nørhald Byg
DK41001135,Madam Nim Glas
DK44001136,Bookinghero ApS
DK41001143,ZROORAT.DK
DK42001155,AI Rengøring ApS
DK44001152,FunkiCreation ApS
DK44001160,Max Impact Consulting
DK43001167,Tanoshii ApS
DK44001179,Jeppe Holm Consulting
DK43001183,Find Din Plads
DK43001191,Vesterlund Ingeniør & Byg ApS
DK43001205,Thisted Turisttrafik K/S
DK44001209,GJ Arkitekter ApS
DK41001216,Axela
DK42001228,Bundtrade ApS
DK40001212,AR Entreprise ApS
DK42001236,frydenslund
DK44001225,VOB ApS
DK43001248,AJ Accounting
DK40001247,Imaginary Balloon
DK43001256,Odsherred Sommerrevy ApS
DK41001259,NTN Auto ApS
DK41001267,Sila smykker
DK42001279,FS Enterprise
DK49001312,Grundejerf Rønneholtparken
DK43001272,EFFEKTIVT ApS
DK41001275,Deutsche Telekom Nordic A/S
DK44001276,Boost Oxygen Nordic ApS
DK44001284,Cozy Moon I/S
DK44001292,OLH Consulting
