originalVatNumber,name
PL2060000016,EUROFIT TRADING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI
PL2040000059,"DELLNER" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2010000066,"B & R EXPO" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220000084,JERZY MOSLER
PL2040000088,GASTROPOLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2070000101,FM+ BARANSKI UND PARTNER G.M.B.H. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2040000119,HAUBE WIND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2070000153,DS. SMITH PAPER LIMITED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL3020000039,"NND" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060000016,EUROFIT TRADING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI
PL2050000049,'IMAC SERVICE' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050000055,'BANNINGER-FORMTECHNIK' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2070000101,FM+ BARANSKI UND PARTNER G.M.B.H. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2220000084,JERZY MOSLER
PL2040000102,"BYDPOL" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040000119,HAUBE WIND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040000177,'EASY ACCESS TECHNOLOGY' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040000183,BALTIC HUB CONTAINER TERMINAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220000167,RYSZARD NOWROCKI
PL3020000163,REWACO SPEZIALFAHRZEUGE GMBH
PL2040000214,"ORAKEL POLSKA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2530000233,ZBIGNIEW MOSEK
PL2050000227,YAMAZAKI MAZAK CENTRAL EUROPE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2030000230,AKCINE BENDROVE 'KAUNO TILTAI' SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE
PL2020000211,PURCELL SYSTEMS INTERNATIONAL AB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ POLSKA
PL2030000282,FORTA FREIGHT TRAFFIC ACTIVITY AG ODDZIAŁ W POLSCE
PL2040000303,ERGO REISEVERSICHERUNG AKTIENGESELLSCHAFT (SPÓŁKA AKCYJNA) ODDZIAŁ W POLSCE
PL2080000290,"MAZUR&RAMB EUROBUD" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2530000339,JÓZEF MIŁASZEWICZ
PL2020000292,NETRO 42 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2030000365,DIEFFENBACHER GMBH MASCHINEN- UND ANLAGENBAU
PL2090000305,COMARCH TECHNOLOGIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2020000323,TRANLUZ S.L. ODDZIAŁ W POLSCE
PL2090000311,CIMOLAI S.P.A. SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE W LIKWIDACJI
PL2080000367,MAQSTOCK DESARROLLOS Y EXPANSION, S.L. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2060000329,MAVEX-REKORD VASUTI JARMU ES ALKATRESZ GYARTO, FORGALMAZO ES INGATLANFORGALMAZO KORLATOLT FELELOSSEGU TARSASAG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2060000335,GUDEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020000364,EAST WIND ENERGY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060000358,TAVRIDA ELECTRIC POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI
PL2080000404,ECOBALANCE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI
PL2010000416,THERMOSHIELD POLAND LTD. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2040000415,WESTPOL-TEEUWISSEN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050000440,CREDE EXPERTO PRAHA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ POLSKA
PL2530000463,SYLWIA GRZYBOWSKA
PL2040000444,POLSKI INSTYTUT BUDOWNICTWA PASYWNEGO I ENERGII ODNAWIALNEJ IMIENIA GÜNTERA SCHLAGOWSKIEGO NON PROFIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2020000435,MEF-SLOSPE S.R.O. (SP. Z O.O.) ODDZIAŁ W POLSCE
PL2090000417,BRAITRIM (DEUTSCHLAND) SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2010000511,VETROTECH SAINT-GOBAIN (INTERNATIONAL) AG SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE
PL3020000476,TRAMWAJE SZCZECIŃSKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050000546,AURES FLEET MANAGEMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020000513,VORTEX ENERGY WINDPARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ EW ROŚCISZEWO SPÓŁKA KOMANDYTOWA
PL2070000578,HEMPELMANN WITTEMÖLLER GMBH
PL2030000595,STI BODEX GROUP LIMITED
PL2050000612,ENERGETIX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060000571,"BELLY" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI
PL2060000588,WHITE BERG TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SPÓŁKA AKCYJNA
